lhs_profile	rhs_profile	third_profile	lhs_target_kind	rhs_target_kind	third_target_kind	status	behavior_class	result_type	result_profile	edge_case	edge_case_id	test_seed_class	diagnostic_class	notes
result_or_bool.sentinel.false	result_or_bool.sentinel.false		assignable_variable			supported	throws	int_t	int.zero	true	divide.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result_or_bool.sentinel.false	result_or_bool.sentinel.false		member_property			supported	throws	int_t	int.zero	true	divide.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result_or_bool.sentinel.false	result_or_bool.sentinel.false		chained_writable_path			supported	throws	int_t	int.zero	true	divide.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result_or_bool.sentinel.false	result_or_bool.sentinel.true		assignable_variable			supported	throws	int_t	int.zero	true	divide.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result_or_bool.sentinel.false	result_or_bool.sentinel.true		member_property			supported	throws	int_t	int.zero	true	divide.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result_or_bool.sentinel.false	result_or_bool.sentinel.true		chained_writable_path			supported	throws	int_t	int.zero	true	divide.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result_or_bool.sentinel.false	result_or_bool.success.int.zero		assignable_variable			supported	throws	int_t	int.zero	true	divide.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result_or_bool.sentinel.false	result_or_bool.success.int.zero		member_property			supported	throws	int_t	int.zero	true	divide.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result_or_bool.sentinel.false	result_or_bool.success.int.zero		chained_writable_path			supported	throws	int_t	int.zero	true	divide.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result_or_bool.sentinel.false	result_or_bool.success.int.nonzero		assignable_variable			supported	throws	int_t	int.zero	true	divide.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result_or_bool.sentinel.false	result_or_bool.success.int.nonzero		member_property			supported	throws	int_t	int.zero	true	divide.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result_or_bool.sentinel.false	result_or_bool.success.int.nonzero		chained_writable_path			supported	throws	int_t	int.zero	true	divide.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result_or_bool.sentinel.true	result_or_bool.sentinel.false		assignable_variable			supported	throws	int_t	int.zero	true	divide.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result_or_bool.sentinel.true	result_or_bool.sentinel.false		member_property			supported	throws	int_t	int.zero	true	divide.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
result_or_bool.sentinel.true	result_or_bool.sentinel.false		chained_writable_path			supported	throws	int_t	int.zero	true	divide.wrapper.empty	runtime_throw		Lifted compound assignment unwraps wrapper operands first and rejects empty wrapper states.
